pay_dt_quarter,consume_large_area_name,good_mid_class_merged,order_fst,order_re,order_wake,members,amt,qty,orders,tag_price_avg,tag_price_std,tag_price_min,tag_price_p10,tag_price_p25,tag_price_p50,tag_price_p75,tag_price_p90,tag_price_max,barg_price_avg,barg_price_std
2022Q1,可隆-东北,防水夹克,310,578,157,815,2460667.01,1212,1045,2824.97,460.64,1949.75,2249.17,2525.56,2824.97,3124.39,3400.77,3792.32,2062.87,396.2
2022Q1,可隆-东北,卫衣,360,355,100,623,1057887.18,1339,815,1107.2,319.95,499.29,707.26,899.23,1107.2,1315.16,1507.13,1779.09,829.84,183.45
2022Q1,可隆-东北,长袖T恤,202,312,105,549,613106.91,906,619,871.48,146.21,593.68,688.72,776.44,871.48,966.51,1054.24,1178.52,664.58,152.38
2022Q1,可隆-东北,三合一夹克,186,295,53,515,2813769.14,893,534,4626.75,836.72,3036.99,3580.85,4082.88,4626.75,5170.62,5672.65,6383.86,3289.08,747.18
2022Q1,可隆-东北,POLO,289,330,64,578,857822.95,1075,683,999.29,175.86,665.16,779.47,884.98,999.29,1113.6,1219.11,1368.59,789.15,95.63
2022Q1,可隆-东北,短袖T恤,322,380,46,677,585164.4,1089,748,716.3,186.46,362.02,483.22,595.1,716.3,837.5,949.38,1107.87,499.97,97.68
2022Q1,可隆-东北,长裤,161,236,58,369,752989.7,770,455,1446.39,258.36,955.5,1123.44,1278.46,1446.39,1614.33,1769.34,1988.95,1001.05,185.56
2022Q1,可隆-东北,衬衫,84,182,24,238,369896.75,458,290,1168.36,303.28,592.13,789.26,971.23,1168.36,1365.49,1547.46,1805.24,801.28,148.25
2022Q1,可隆-东北,针织夹克,120,209,39,336,498177.89,482,368,1513.55,253.39,1032.1,1196.81,1348.84,1513.55,1678.26,1830.29,2045.67,1032.92,239.03
2022Q1,可隆-东北,羽绒服,223,313,62,525,1324722.55,725,598,3131.14,950.44,1325.3,1943.09,2513.35,3131.14,3748.92,4319.18,5127.06,1923.09,446.07
2022Q1,可隆-东北,鞋,247,210,54,408,952818.14,697,511,2159.32,479.46,1248.36,1560.0,1847.68,2159.32,2470.97,2758.64,3166.18,1390.6,211.9
2022Q1,可隆-东北,马夹,105,134,25,279,552573.56,413,264,1809.46,443.57,966.68,1255.0,1521.14,1809.46,2097.77,2363.91,2740.95,1336.49,299.34
2022Q1,可隆-东北,软壳夹克,230,277,75,434,2110641.62,999,582,2683.51,458.09,1813.13,2110.89,2385.75,2683.51,2981.27,3256.12,3645.5,2246.27,602.04
2022Q1,可隆-东北,配件,102,220,55,337,140124.6,473,377,381.61,86.85,216.59,273.04,325.16,381.61,438.07,490.18,564.0,284.33,56.44
2022Q1,可隆-东北,抓绒夹克,114,252,13,319,573540.28,526,379,1636.45,472.5,738.71,1045.83,1329.33,1636.45,1943.57,2227.07,2628.69,1098.11,289.23
2022Q1,可隆-东北,防风夹克,150,328,27,467,1656396.53,777,505,2781.87,848.14,1170.4,1721.69,2230.58,2781.87,3333.17,3842.05,4562.97,2031.94,318.68
2022Q1,可隆-东北,其他,30,44,19,90,35712.47,160,93,275.62,64.14,153.76,195.45,233.93,275.62,317.31,355.8,410.31,218.99,35.25
2022Q1,可隆-东北,棉服,111,128,27,272,864269.42,344,266,2945.05,885.93,1261.78,1837.63,2369.19,2945.05,3520.9,4052.46,4805.5,2492.47,506.02
2022Q1,可隆-东北,连衣裙,59,75,15,114,287312.45,244,149,1707.33,313.08,1112.47,1315.98,1503.82,1707.33,1910.83,2098.68,2364.8,1254.3,175.15
2022Q1,可隆-东北,短裤,191,277,55,386,396278.81,695,523,753.97,173.51,424.29,537.08,641.19,753.97,866.75,970.86,1118.35,581.66,83.19
2022Q1,可隆-华东,防水夹克,677,527,170,1108,3057275.29,1566,1374,3185.97,560.6,2120.83,2485.22,2821.58,3185.97,3550.36,3886.72,4363.23,2078.98,516.96
2022Q1,可隆-华东,卫衣,251,555,111,847,1449535.24,1361,917,1308.3,250.62,832.12,995.03,1145.4,1308.3,1471.2,1621.57,1834.6,998.3,267.51
2022Q1,可隆-华东,长袖T恤,293,348,93,735,1065491.56,1151,734,918.49,282.84,381.09,564.93,734.64,918.49,1102.33,1272.04,1512.46,846.29,210.47
2022Q1,可隆-华东,三合一夹克,140,226,56,320,1274552.85,593,422,3952.73,984.56,2082.07,2722.04,3312.77,3952.73,4592.7,5183.43,6020.3,2166.95,560.89
2022Q1,可隆-华东,POLO,383,654,96,997,962249.98,1358,1133,850.61,233.31,407.32,558.97,698.96,850.61,1002.26,1142.24,1340.55,757.33,189.83
2022Q1,可隆-华东,短袖T恤,483,1027,178,1409,1612357.6,3200,1688,692.5,117.58,469.09,545.52,616.07,692.5,768.93,839.48,939.42,485.01,80.3
2022Q1,可隆-华东,长裤,230,529,94,767,1390613.96,1362,853,1282.53,270.43,768.72,944.5,1106.75,1282.53,1458.3,1620.56,1850.42,971.8,166.06
2022Q1,可隆-华东,衬衫,205,286,49,452,930961.03,826,540,1307.22,194.6,937.48,1063.97,1180.73,1307.22,1433.71,1550.47,1715.89,1105.74,198.79
2022Q1,可隆-华东,针织夹克,150,280,87,436,844895.4,851,517,1222.33,386.65,487.69,739.02,971.01,1222.33,1473.65,1705.65,2034.3,970.77,241.07
2022Q1,可隆-华东,羽绒服,286,377,81,655,2973982.83,1116,744,3649.43,763.88,2198.05,2694.57,3152.91,3649.43,4145.96,4604.29,5253.59,3057.2,679.71
2022Q1,可隆-华东,鞋,269,460,38,641,2139995.26,1454,767,1896.3,395.01,1145.79,1402.54,1639.54,1896.3,2153.05,2390.05,2725.81,1496.38,343.75
2022Q1,可隆-华东,马夹,214,166,63,318,1372286.71,791,443,1975.08,562.49,906.36,1271.98,1609.47,1975.08,2340.7,2678.19,3156.3,1697.61,348.41
2022Q1,可隆-华东,软壳夹克,245,390,121,767,2783024.23,1290,756,2555.39,691.56,1241.42,1690.94,2105.87,2555.39,3004.9,3419.84,4007.67,2079.32,277.63
2022Q1,可隆-华东,配件,131,194,26,326,181981.37,650,351,444.1,82.43,287.48,341.06,390.52,444.1,497.68,547.13,617.2,294.92,63.23
2022Q1,可隆-华东,抓绒夹克,168,179,69,337,587397.1,454,416,1746.57,399.24,988.0,1247.51,1487.06,1746.57,2006.08,2245.62,2584.98,1267.59,273.72
2022Q1,可隆-华东,防风夹克,329,398,44,568,2269316.77,1252,771,2582.86,516.71,1601.11,1936.97,2247.0,2582.86,2918.73,3228.75,3667.96,1741.69,459.35
2022Q1,可隆-华东,其他,73,94,16,162,65367.93,278,183,310.35,64.86,187.11,229.27,268.19,310.35,352.51,391.43,446.56,248.28,58.78
2022Q1,可隆-华东,棉服,143,254,58,359,1883646.51,706,455,3246.86,523.8,2251.63,2592.1,2906.39,3246.86,3587.33,3901.61,4346.85,2560.29,655.65
